ENSG00000000419	DPM1	H. sapiens	S000006148	ALG5	S. cerevisiae	least diverged horizontal gene transfer
ENSG00000020426	MNAT1	H. sapiens	S000002868	TFB3	S. cerevisiae	homologue
ENSG00000020426	MNAT1	H. sapiens	S000002868	TFB3	S. cerevisiae	least diverged orthologue
ENSG00000020426	MNAT1	H. sapiens	S000002868	TFB3	S. cerevisiae	orthologue
ENSG00000020426	MNAT1	H. sapiens	S000002868	TFB3	S. cerevisiae	orthologue
ENSG00000023041	ZDHHC6	H. sapiens	S000005363	PFA4	S. cerevisiae	homologue
ENSG00000027075	PRKCH	H. sapiens	S000000201	PKC1	S. cerevisiae	orthologue
ENSG00000027075	PRKCH	H. sapiens	S000001248	SCH9	S. cerevisiae	homologue
ENSG00000027075	PRKCH	H. sapiens	S000001609	YPK1	S. cerevisiae	homologue
ENSG00000027075	PRKCH	H. sapiens	S000004710	YPK2	S. cerevisiae	homologue
ENSG00000031698	SARS	H. sapiens	S000002430	SES1	S. cerevisiae	homologue
ENSG00000031698	SARS	H. sapiens	S000002430	SES1	S. cerevisiae	least diverged orthologue
ENSG00000031698	SARS	H. sapiens	S000002430	SES1	S. cerevisiae	orthologue
ENSG00000031698	SARS	H. sapiens	S000002430	SES1	S. cerevisiae	orthologue
ENSG00000033011	ALG1	H. sapiens	S000000314	ALG1	S. cerevisiae	homologue
ENSG00000033011	ALG1	H. sapiens	S000000314	ALG1	S. cerevisiae	least diverged orthologue
ENSG00000033011	ALG1	H. sapiens	S000000314	ALG1	S. cerevisiae	orthologue
ENSG00000033011	ALG1	H. sapiens	S000000314	ALG1	S. cerevisiae	orthologue
ENSG00000033050	ABCF2	H. sapiens	S000000838	ARB1	S. cerevisiae	homologue
ENSG00000033050	ABCF2	H. sapiens	S000000838	ARB1	S. cerevisiae	least diverged orthologue
ENSG00000033050	ABCF2	H. sapiens	S000000838	ARB1	S. cerevisiae	orthologue
ENSG00000033050	ABCF2	H. sapiens	S000000838	ARB1	S. cerevisiae	orthologue
ENSG00000037474	NSUN2	H. sapiens	S000000120	NCL1	S. cerevisiae	homologue
ENSG00000037474	NSUN2	H. sapiens	S000000120	NCL1	S. cerevisiae	least diverged orthologue
ENSG00000037474	NSUN2	H. sapiens	S000000120	NCL1	S. cerevisiae	orthologue
ENSG00000037474	NSUN2	H. sapiens	S000000120	NCL1	S. cerevisiae	orthologue
ENSG00000039123	SKIV2L2	H. sapiens	S000003586	MTR4	S. cerevisiae	homologue
ENSG00000039123	SKIV2L2	H. sapiens	S000003586	MTR4	S. cerevisiae	orthologue
ENSG00000039123	SKIV2L2	H. sapiens	S000003586	MTR4	S. cerevisiae	orthologue
ENSG00000040531	CTNS	H. sapiens	S000000671	ERS1	S. cerevisiae	homologue
ENSG00000043514	TRIT1	H. sapiens	S000005800	MOD5	S. cerevisiae	homologue
ENSG00000043514	TRIT1	H. sapiens	S000005800	MOD5	S. cerevisiae	least diverged orthologue
ENSG00000043514	TRIT1	H. sapiens	S000005800	MOD5	S. cerevisiae	orthologue
ENSG00000043514	TRIT1	H. sapiens	S000005800	MOD5	S. cerevisiae	orthologue
ENSG00000047230	CTPS2	H. sapiens	S000000135	URA7	S. cerevisiae	homologue
ENSG00000047230	CTPS2	H. sapiens	S000000135	URA7	S. cerevisiae	least diverged orthologue
ENSG00000047230	CTPS2	H. sapiens	S000000135	URA7	S. cerevisiae	orthologue
ENSG00000047230	CTPS2	H. sapiens	S000000135	URA7	S. cerevisiae	orthologue
ENSG00000047230	CTPS2	H. sapiens	S000003864	URA8	S. cerevisiae	homologue
ENSG00000047230	CTPS2	H. sapiens	S000003864	URA8	S. cerevisiae	orthologue
ENSG00000047230	CTPS2	H. sapiens	S000003864	URA8	S. cerevisiae	orthologue
ENSG00000052802	MSMO1	H. sapiens	S000002705	SUR2	S. cerevisiae	orthologue
ENSG00000052802	MSMO1	H. sapiens	S000003292	ERG25	S. cerevisiae	homologue
ENSG00000052802	MSMO1	H. sapiens	S000003292	ERG25	S. cerevisiae	orthologue
ENSG00000052802	MSMO1	H. sapiens	S000003292	ERG25	S. cerevisiae	orthologue
ENSG00000055130	CUL1	H. sapiens	S000002290	CDC53	S. cerevisiae	homologue
ENSG00000055130	CUL1	H. sapiens	S000002290	CDC53	S. cerevisiae	least diverged orthologue
ENSG00000055130	CUL1	H. sapiens	S000002290	CDC53	S. cerevisiae	orthologue
ENSG00000055483	USP36	H. sapiens	S000005130	UBP10	S. cerevisiae	homologue
ENSG00000057608	GDI2	H. sapiens	S000000938	GDI1	S. cerevisiae	homologue
ENSG00000057608	GDI2	H. sapiens	S000000938	GDI1	S. cerevisiae	least diverged orthologue
ENSG00000057608	GDI2	H. sapiens	S000005897	MRS6	S. cerevisiae	orthologue
ENSG00000058262	SEC61A1	H. sapiens	S000000487	SSH1	S. cerevisiae	orthologue
ENSG00000058262	SEC61A1	H. sapiens	S000000487	SSH1	S. cerevisiae	orthologue
ENSG00000058262	SEC61A1	H. sapiens	S000004370	SEC61	S. cerevisiae	homologue
ENSG00000058262	SEC61A1	H. sapiens	S000004370	SEC61	S. cerevisiae	least diverged orthologue
ENSG00000058262	SEC61A1	H. sapiens	S000004370	SEC61	S. cerevisiae	orthologue
ENSG00000058262	SEC61A1	H. sapiens	S000004370	SEC61	S. cerevisiae	orthologue
ENSG00000058335	RASGRF1	H. sapiens	S000003939	SDC25	S. cerevisiae	orthologue
ENSG00000058335	RASGRF1	H. sapiens	S000004301	CDC25	S. cerevisiae	homologue
ENSG00000058335	RASGRF1	H. sapiens	S000004301	CDC25	S. cerevisiae	orthologue
ENSG00000060642	PIGV	H. sapiens	S000000208	GPI18	S. cerevisiae	least diverged orthologue
ENSG00000060762	MPC1	H. sapiens	S000003048	MPC1	S. cerevisiae	homologue
ENSG00000060762	MPC1	H. sapiens	S000003048	MPC1	S. cerevisiae	least diverged orthologue
ENSG00000060762	MPC1	H. sapiens	S000003048	MPC1	S. cerevisiae	orthologue
ENSG00000060762	MPC1	H. sapiens	S000003048	MPC1	S. cerevisiae	orthologue
ENSG00000064933	PMS1	H. sapiens	S000004025	MLH2	S. cerevisiae	least diverged orthologue
ENSG00000064933	PMS1	H. sapiens	S000005026	PMS1	S. cerevisiae	homologue
ENSG00000064933	PMS1	H. sapiens	S000005026	PMS1	S. cerevisiae	orthologue
ENSG00000065150	IPO5	H. sapiens	S000004925	PSE1	S. cerevisiae	homologue
ENSG00000065150	IPO5	H. sapiens	S000004925	PSE1	S. cerevisiae	least diverged orthologue
ENSG00000065150	IPO5	H. sapiens	S000004925	PSE1	S. cerevisiae	orthologue
ENSG00000065150	IPO5	H. sapiens	S000004925	PSE1	S. cerevisiae	orthologue
ENSG00000065154	OAT	H. sapiens	S000004430	CAR2	S. cerevisiae	homologue
ENSG00000065154	OAT	H. sapiens	S000004430	CAR2	S. cerevisiae	least diverged orthologue
ENSG00000065154	OAT	H. sapiens	S000004430	CAR2	S. cerevisiae	orthologue
ENSG00000065154	OAT	H. sapiens	S000004430	CAR2	S. cerevisiae	orthologue
ENSG00000065427	KARS	H. sapiens	S000002444	KRS1	S. cerevisiae	homologue
ENSG00000065427	KARS	H. sapiens	S000002444	KRS1	S. cerevisiae	least diverged orthologue
ENSG00000065427	KARS	H. sapiens	S000002444	KRS1	S. cerevisiae	orthologue
ENSG00000065427	KARS	H. sapiens	S000002444	KRS1	S. cerevisiae	orthologue
ENSG00000065427	KARS	H. sapiens	S000003941	DPS1	S. cerevisiae	horizontal gene transfer
ENSG00000065427	KARS	H. sapiens	S000005017	MSK1	S. cerevisiae	orthologue
ENSG00000065989	PDE4A	H. sapiens	S000005887	PDE2	S. cerevisiae	orthologue
ENSG00000065989	PDE4A	H. sapiens	S000005887	PDE2	S. cerevisiae	orthologue
ENSG00000066322	ELOVL1	H. sapiens	S000000630	ELO2	S. cerevisiae	homologue
ENSG00000066322	ELOVL1	H. sapiens	S000003732	ELO1	S. cerevisiae	homologue
ENSG00000066322	ELOVL1	H. sapiens	S000004364	ELO3	S. cerevisiae	homologue
ENSG00000066926	FECH	H. sapiens	S000005702	HEM15	S. cerevisiae	homologue
ENSG00000066926	FECH	H. sapiens	S000005702	HEM15	S. cerevisiae	least diverged orthologue
ENSG00000066926	FECH	H. sapiens	S000005702	HEM15	S. cerevisiae	orthologue
ENSG00000066926	FECH	H. sapiens	S000005702	HEM15	S. cerevisiae	orthologue
ENSG00000067064	IDI1	H. sapiens	S000006038	IDI1	S. cerevisiae	homologue
ENSG00000067064	IDI1	H. sapiens	S000006038	IDI1	S. cerevisiae	least diverged orthologue
ENSG00000067064	IDI1	H. sapiens	S000006038	IDI1	S. cerevisiae	orthologue
ENSG00000067064	IDI1	H. sapiens	S000006038	IDI1	S. cerevisiae	orthologue
ENSG00000067560	RHOA	H. sapiens	S000001763	RHO4	S. cerevisiae	orthologue
ENSG00000067560	RHOA	H. sapiens	S000005034	RHO2	S. cerevisiae	orthologue
ENSG00000067560	RHOA	H. sapiens	S000006369	RHO1	S. cerevisiae	homologue
ENSG00000067560	RHOA	H. sapiens	S000006369	RHO1	S. cerevisiae	orthologue
ENSG00000067560	RHOA	H. sapiens	S000006369	RHO1	S. cerevisiae	orthologue
ENSG00000067560	RHOA	H. sapiens	S000006369	RHO1	S. cerevisiae	orthologue
ENSG00000067596	DHX8	H. sapiens	S000000815	PRP22	S. cerevisiae	homologue
ENSG00000067596	DHX8	H. sapiens	S000000815	PRP22	S. cerevisiae	least diverged orthologue
ENSG00000067596	DHX8	H. sapiens	S000000815	PRP22	S. cerevisiae	orthologue
ENSG00000067596	DHX8	H. sapiens	S000000815	PRP22	S. cerevisiae	orthologue
ENSG00000067704	IARS2	H. sapiens	S000003403	MSM1	S. cerevisiae	horizontal gene transfer
ENSG00000067704	IARS2	H. sapiens	S000005961	ISM1	S. cerevisiae	homologue
ENSG00000067704	IARS2	H. sapiens	S000005961	ISM1	S. cerevisiae	orthologue
ENSG00000067704	IARS2	H. sapiens	S000005961	ISM1	S. cerevisiae	orthologue
ENSG00000068120	COASY	H. sapiens	S000003509	CAB4	S. cerevisiae	homologue
ENSG00000068366	ACSL4	H. sapiens	S000001271	FAA3	S. cerevisiae	homologue
ENSG00000068366	ACSL4	H. sapiens	S000001271	FAA3	S. cerevisiae	orthologue
ENSG00000068366	ACSL4	H. sapiens	S000001271	FAA3	S. cerevisiae	orthologue
ENSG00000068366	ACSL4	H. sapiens	S000004860	FAA4	S. cerevisiae	homologue
ENSG00000068366	ACSL4	H. sapiens	S000004860	FAA4	S. cerevisiae	orthologue
ENSG00000068366	ACSL4	H. sapiens	S000004860	FAA4	S. cerevisiae	orthologue
ENSG00000068366	ACSL4	H. sapiens	S000005844	FAA1	S. cerevisiae	homologue
ENSG00000068366	ACSL4	H. sapiens	S000005844	FAA1	S. cerevisiae	orthologue
ENSG00000068366	ACSL4	H. sapiens	S000005844	FAA1	S. cerevisiae	orthologue
ENSG00000068438	FTSJ1	H. sapiens	S000000265	TRM7	S. cerevisiae	homologue
ENSG00000068438	FTSJ1	H. sapiens	S000000265	TRM7	S. cerevisiae	least diverged orthologue
ENSG00000068438	FTSJ1	H. sapiens	S000000265	TRM7	S. cerevisiae	orthologue
ENSG00000068654	POLR1A	H. sapiens	S000005868	RPA190	S. cerevisiae	homologue
ENSG00000068654	POLR1A	H. sapiens	S000005868	RPA190	S. cerevisiae	least diverged orthologue
ENSG00000068654	POLR1A	H. sapiens	S000005868	RPA190	S. cerevisiae	orthologue
ENSG00000068654	POLR1A	H. sapiens	S000005868	RPA190	S. cerevisiae	orthologue
ENSG00000069345	DNAJA2	H. sapiens	S000005008	YDJ1	S. cerevisiae	homologue
ENSG00000069345	DNAJA2	H. sapiens	S000005008	YDJ1	S. cerevisiae	orthologue
ENSG00000069345	DNAJA2	H. sapiens	S000005008	YDJ1	S. cerevisiae	orthologue
ENSG00000069345	DNAJA2	H. sapiens	S000005008	YDJ1	S. cerevisiae	orthologue
ENSG00000069345	DNAJA2	H. sapiens	S000005021	APJ1	S. cerevisiae	orthologue
ENSG00000069943	PIGB	H. sapiens	S000003110	GPI10	S. cerevisiae	homologue
ENSG00000069943	PIGB	H. sapiens	S000003110	GPI10	S. cerevisiae	least diverged orthologue
ENSG00000069943	PIGB	H. sapiens	S000003110	GPI10	S. cerevisiae	orthologue
ENSG00000069966	GNB5	H. sapiens	S000005738	STE4	S. cerevisiae	homologue
ENSG00000069966	GNB5	H. sapiens	S000005738	STE4	S. cerevisiae	orthologue
ENSG00000069966	GNB5	H. sapiens	S000005738	STE4	S. cerevisiae	orthologue
ENSG00000069966	GNB5	H. sapiens	S000005738	STE4	S. cerevisiae	orthologue
ENSG00000070010	UFD1L	H. sapiens	S000003280	UFD1	S. cerevisiae	homologue
ENSG00000070010	UFD1L	H. sapiens	S000003280	UFD1	S. cerevisiae	least diverged orthologue
ENSG00000070010	UFD1L	H. sapiens	S000003280	UFD1	S. cerevisiae	orthologue
ENSG00000070010	UFD1L	H. sapiens	S000003280	UFD1	S. cerevisiae	orthologue
ENSG00000070831	CDC42	H. sapiens	S000004219	CDC42	S. cerevisiae	homologue
ENSG00000070831	CDC42	H. sapiens	S000004219	CDC42	S. cerevisiae	orthologue
ENSG00000070831	CDC42	H. sapiens	S000004219	CDC42	S. cerevisiae	orthologue
ENSG00000070831	CDC42	H. sapiens	S000005124	RHO5	S. cerevisiae	least diverged orthologue
ENSG00000071794	HLTF	H. sapiens	S000000318	RAD16	S. cerevisiae	homologue
ENSG00000071794	HLTF	H. sapiens	S000004022	RAD5	S. cerevisiae	homologue
ENSG00000071794	HLTF	H. sapiens	S000004022	RAD5	S. cerevisiae	orthologue
ENSG00000071794	HLTF	H. sapiens	S000005717	ULS1	S. cerevisiae	homologue
ENSG00000072210	ALDH3A2	H. sapiens	S000004716	HFD1	S. cerevisiae	homologue
ENSG00000072210	ALDH3A2	H. sapiens	S000004716	HFD1	S. cerevisiae	least diverged orthologue
ENSG00000072210	ALDH3A2	H. sapiens	S000004716	HFD1	S. cerevisiae	orthologue
ENSG00000072756	TRNT1	H. sapiens	S000000970	CCA1	S. cerevisiae	homologue
ENSG00000072756	TRNT1	H. sapiens	S000000970	CCA1	S. cerevisiae	least diverged orthologue
ENSG00000074582	BCS1L	H. sapiens	S000002783	BCS1	S. cerevisiae	homologue
ENSG00000074582	BCS1L	H. sapiens	S000002783	BCS1	S. cerevisiae	least diverged orthologue
ENSG00000074582	BCS1L	H. sapiens	S000002783	BCS1	S. cerevisiae	orthologue
ENSG00000074582	BCS1L	H. sapiens	S000002783	BCS1	S. cerevisiae	orthologue
ENSG00000075239	ACAT1	H. sapiens	S000005949	ERG10	S. cerevisiae	homologue
ENSG00000075239	ACAT1	H. sapiens	S000005949	ERG10	S. cerevisiae	orthologue
ENSG00000075239	ACAT1	H. sapiens	S000005949	ERG10	S. cerevisiae	orthologue
ENSG00000075415	SLC25A3	H. sapiens	S000000855	PIC2	S. cerevisiae	homologue
ENSG00000075415	SLC25A3	H. sapiens	S000000855	PIC2	S. cerevisiae	orthologue
ENSG00000075415	SLC25A3	H. sapiens	S000003838	MIR1	S. cerevisiae	least diverged orthologue
ENSG00000075415	SLC25A3	H. sapiens	S000003838	MIR1	S. cerevisiae	orthologue
ENSG00000076242	MLH1	H. sapiens	S000004777	MLH1	S. cerevisiae	homologue
ENSG00000076242	MLH1	H. sapiens	S000004777	MLH1	S. cerevisiae	least diverged orthologue
ENSG00000076242	MLH1	H. sapiens	S000004777	MLH1	S. cerevisiae	orthologue
ENSG00000076242	MLH1	H. sapiens	S000004777	MLH1	S. cerevisiae	orthologue
ENSG00000076248	UNG	H. sapiens	S000004483	UNG1	S. cerevisiae	homologue
ENSG00000076248	UNG	H. sapiens	S000004483	UNG1	S. cerevisiae	least diverged horizontal gene transfer
ENSG00000076248	UNG	H. sapiens	S000004483	UNG1	S. cerevisiae	orthologue
ENSG00000076248	UNG	H. sapiens	S000004483	UNG1	S. cerevisiae	orthologue
ENSG00000077721	UBE2A	H. sapiens	S000003026	RAD6	S. cerevisiae	homologue
ENSG00000077721	UBE2A	H. sapiens	S000003026	RAD6	S. cerevisiae	least diverged orthologue
ENSG00000077721	UBE2A	H. sapiens	S000003026	RAD6	S. cerevisiae	orthologue
ENSG00000077721	UBE2A	H. sapiens	S000004297	UBC12	S. cerevisiae	horizontal gene transfer
ENSG00000078140	UBE2K	H. sapiens	S000002584	UBC1	S. cerevisiae	homologue
ENSG00000078140	UBE2K	H. sapiens	S000002584	UBC1	S. cerevisiae	least diverged orthologue
ENSG00000078140	UBE2K	H. sapiens	S000002584	UBC1	S. cerevisiae	orthologue
ENSG00000078140	UBE2K	H. sapiens	S000002584	UBC1	S. cerevisiae	orthologue
ENSG00000078140	UBE2K	H. sapiens	S000004297	UBC12	S. cerevisiae	horizontal gene transfer
ENSG00000078902	TOLLIP	H. sapiens	S000002681	DON1	S. cerevisiae	orthologue
ENSG00000078902	TOLLIP	H. sapiens	S000005568	CUE5	S. cerevisiae	least diverged orthologue
ENSG00000079335	CDC14A	H. sapiens	S000001924	CDC14	S. cerevisiae	homologue
ENSG00000079335	CDC14A	H. sapiens	S000001924	CDC14	S. cerevisiae	least diverged orthologue
ENSG00000079335	CDC14A	H. sapiens	S000001924	CDC14	S. cerevisiae	orthologue
ENSG00000080819	CPOX	H. sapiens	S000002451	HEM13	S. cerevisiae	homologue
ENSG00000080819	CPOX	H. sapiens	S000002451	HEM13	S. cerevisiae	least diverged orthologue
ENSG00000080819	CPOX	H. sapiens	S000002451	HEM13	S. cerevisiae	orthologue
ENSG00000080819	CPOX	H. sapiens	S000002451	HEM13	S. cerevisiae	orthologue
ENSG00000080824	HSP90AA1	H. sapiens	S000004798	HSC82	S. cerevisiae	orthologue
ENSG00000080824	HSP90AA1	H. sapiens	S000004798	HSC82	S. cerevisiae	orthologue
ENSG00000080824	HSP90AA1	H. sapiens	S000006161	HSP82	S. cerevisiae	homologue
ENSG00000080824	HSP90AA1	H. sapiens	S000006161	HSP82	S. cerevisiae	orthologue
ENSG00000080824	HSP90AA1	H. sapiens	S000006161	HSP82	S. cerevisiae	orthologue
ENSG00000080986	NDC80	H. sapiens	S000001406	NDC80	S. cerevisiae	homologue
ENSG00000080986	NDC80	H. sapiens	S000001406	NDC80	S. cerevisiae	least diverged orthologue
ENSG00000083520	DIS3	H. sapiens	S000005381	DIS3	S. cerevisiae	homologue
ENSG00000083520	DIS3	H. sapiens	S000005381	DIS3	S. cerevisiae	least diverged orthologue
ENSG00000083520	DIS3	H. sapiens	S000005381	DIS3	S. cerevisiae	orthologue
ENSG00000083520	DIS3	H. sapiens	S000005381	DIS3	S. cerevisiae	orthologue
ENSG00000083750	RRAGB	H. sapiens	S000004590	GTR1	S. cerevisiae	homologue
ENSG00000083750	RRAGB	H. sapiens	S000004590	GTR1	S. cerevisiae	orthologue
ENSG00000083845	RPS5	H. sapiens	S000003884	RPS5	S. cerevisiae	homologue
ENSG00000083845	RPS5	H. sapiens	S000003884	RPS5	S. cerevisiae	least diverged orthologue
ENSG00000083845	RPS5	H. sapiens	S000003884	RPS5	S. cerevisiae	orthologue
ENSG00000083845	RPS5	H. sapiens	S000003884	RPS5	S. cerevisiae	orthologue
ENSG00000084073	ZMPSTE24	H. sapiens	S000003878	STE24	S. cerevisiae	homologue
ENSG00000084073	ZMPSTE24	H. sapiens	S000003878	STE24	S. cerevisiae	least diverged orthologue
ENSG00000084073	ZMPSTE24	H. sapiens	S000003878	STE24	S. cerevisiae	orthologue
ENSG00000084073	ZMPSTE24	H. sapiens	S000003878	STE24	S. cerevisiae	orthologue
ENSG00000085511	MAP3K4	H. sapiens	S000000669	SSK22	S. cerevisiae	homologue
ENSG00000085511	MAP3K4	H. sapiens	S000005314	SSK2	S. cerevisiae	homologue
ENSG00000085662	AKR1B1	H. sapiens	S000002776	YPR1	S. cerevisiae	homologue
ENSG00000085662	AKR1B1	H. sapiens	S000005646	GCY1	S. cerevisiae	homologue
ENSG00000085721	RRN3	H. sapiens	S000001608	RRN3	S. cerevisiae	homologue
ENSG00000085721	RRN3	H. sapiens	S000001608	RRN3	S. cerevisiae	least diverged orthologue
ENSG00000085721	RRN3	H. sapiens	S000001608	RRN3	S. cerevisiae	orthologue
ENSG00000086848	ALG9	H. sapiens	S000005163	ALG9	S. cerevisiae	homologue
ENSG00000086848	ALG9	H. sapiens	S000005163	ALG9	S. cerevisiae	least diverged orthologue
ENSG00000086848	ALG9	H. sapiens	S000005163	ALG9	S. cerevisiae	orthologue
ENSG00000086848	ALG9	H. sapiens	S000005163	ALG9	S. cerevisiae	orthologue
ENSG00000087191	PSMC5	H. sapiens	S000003016	RPT6	S. cerevisiae	homologue
ENSG00000087191	PSMC5	H. sapiens	S000003016	RPT6	S. cerevisiae	least diverged orthologue
ENSG00000087191	PSMC5	H. sapiens	S000003016	RPT6	S. cerevisiae	orthologue
ENSG00000087191	PSMC5	H. sapiens	S000003016	RPT6	S. cerevisiae	orthologue
ENSG00000088035	ALG6	H. sapiens	S000005528	ALG6	S. cerevisiae	homologue
ENSG00000088035	ALG6	H. sapiens	S000005528	ALG6	S. cerevisiae	least diverged orthologue
ENSG00000088035	ALG6	H. sapiens	S000005528	ALG6	S. cerevisiae	orthologue
ENSG00000088035	ALG6	H. sapiens	S000005528	ALG6	S. cerevisiae	orthologue
ENSG00000088682	COQ9	H. sapiens	S000004191	COQ9	S. cerevisiae	homologue
ENSG00000088682	COQ9	H. sapiens	S000004191	COQ9	S. cerevisiae	least diverged orthologue
ENSG00000088682	COQ9	H. sapiens	S000004191	COQ9	S. cerevisiae	orthologue
ENSG00000088832	FKBP1A	H. sapiens	S000005079	FPR1	S. cerevisiae	homologue
ENSG00000088832	FKBP1A	H. sapiens	S000005079	FPR1	S. cerevisiae	orthologue
ENSG00000089157	RPLP0	H. sapiens	S000004332	RPP0	S. cerevisiae	homologue
ENSG00000089157	RPLP0	H. sapiens	S000004332	RPP0	S. cerevisiae	orthologue
ENSG00000089157	RPLP0	H. sapiens	S000004332	RPP0	S. cerevisiae	orthologue
ENSG00000089157	RPLP0	H. sapiens	S000004332	RPP0	S. cerevisiae	orthologue
